"division","gender","belt","weight","fight","day","date","time","winner_idx","comp01_n","ID_1","comp01_name","comp01_club","comp01_dq","comp01_won","comp02_n","ID_2","comp02_name","comp02_club","comp02_dq","comp02_won"
"Master 1","Male","BLUE","Rooster","FIGHT 30","Sat","09/03","01:04 PM",1,"1",1,"Anthony Garcia","American Top Team",0,1,"8",1,"Jonathan Ti Shih Yeung","Evolve MMA",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 41","Sat","09/03","02:33 PM",1,"3",2,"Tony Thai Nguyen","CheckMat",0,1,"1",2,"Anthony Garcia","American Top Team",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 32","Sat","09/03","01:16 PM",2,"2",3,"Daniel Armando Avilez","Absolute Behring",0,0,"7",3,"Philip Paul Johns Jr","Form Jiu Jitsu Academy",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 35","Sat","09/03","01:54 PM",2,"4",4,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,0,"1",4,"Anthony Garcia","American Top Team",0,1
"Master 1","Male","BLUE","Rooster","FIGHT 38","Sat","09/03","02:10 PM",1,"3",5,"Tony Thai Nguyen","CheckMat",0,1,"7",5,"Philip Paul Johns Jr","Form Jiu Jitsu Academy",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 31","Sat","09/03","01:10 PM",1,"4",6,"Emanuel Paul Q Babala","Lansang Brazilian Jiu-Jitsu",0,1,"6",6,"Wesley Allen Morris","Roberto Traven BJJ",0,0
"Master 1","Male","BLUE","Rooster","FIGHT 34","Sat","09/03","01:37 PM",1,"3",7,"Tony Thai Nguyen","CheckMat",0,1,"5",7,"Daryl Charles Ayson Santos","Yemaso Brazilian Jiu-Jitsu",0,0
"Master 1","Male","PURPLE","Rooster","FIGHT 26","Fri","09/02","12:44 PM",1,"8",8,"Francisco J ORyan Lesser","Cohab Chile",0,1,"9",8,"Bryan Nguyen","Logic",1,0
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"2",9,"Lio Alexander Duarte","Brazilian Top Team",0,1,"BYE",9,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 30","Fri","09/02","01:22 PM",2,"1",10,"Mark Luebking","CheckMat",1,0,"8",10,"Francisco J ORyan Lesser","Cohab Chile",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 35","Fri","09/02","02:01 PM",2,"2",11,"Lio Alexander Duarte","Brazilian Top Team",0,0,"6",11,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 27","Fri","09/02","12:59 PM",2,"7",12,"Lucas John Wagner","Alliance ",1,0,"2",12,"Lio Alexander Duarte","Brazilian Top Team",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"1",13,"Mark Luebking","CheckMat",0,1,"BYE",13,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"7",14,"Lucas John Wagner","Alliance ",0,1,"BYE",14,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 31","Fri","09/02","01:32 PM",1,"6",15,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1,"8",15,"Francisco J ORyan Lesser","Cohab Chile",0,0
"Master 1","Male","PURPLE","Rooster","FIGHT 28","Fri","09/02","01:02 PM",2,"3",16,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",0,0,"2",16,"Lio Alexander Duarte","Brazilian Top Team",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"4",17,"Luis Alberto Ogaz Varela","Soul Fighters BJJ",0,1,"BYE",17,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"3",18,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",0,1,"BYE",18,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","FIGHT 23","Fri","09/02","12:33 PM",1,"6",19,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1,"4",19,"Luis Alberto Ogaz Varela","Soul Fighters BJJ",0,0
"Master 1","Male","PURPLE","Rooster","FIGHT 24","Fri","09/02","12:36 PM",2,"5",20,"George Christopher A Baron","Aloisio Silva BJJ",0,0,"3",20,"Oscar Alberto Borrego","Patrick Almeida Jiu-Jitsu",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"6",21,"Omar Eduardo Alfaro Solis","LEAD BJJ",0,1,"BYE",21,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Rooster","BYE","BYE","BYE","BYE",1,"5",22,"George Christopher A Baron","Aloisio Silva BJJ",0,1,"BYE",22,"BYE","BYE",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 28","Thu","09/01","02:17 PM",2,"1",23,"Kryz Patricio Navarro","Renzo Gracie Academy",0,0,"7",23,"Brett Matthew Kostern","Alliance ",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 41","Thu","09/01","03:57 PM",2,"5",24,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu",0,0,"7",24,"Brett Matthew Kostern","Alliance ",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 33","Thu","09/01","02:49 PM",1,"2",25,"Luis Angel G Rosito","Alliance ",0,1,"8",25,"Daniel Louis Cavazos","R1NG BJJ",0,0
"Master 1","Male","BROWN","Rooster","FIGHT 43","Thu","09/01","03:31 PM",2,"6",26,"Jeison Camilo  Mora Pineda","CheckMat",0,0,"7",26,"Brett Matthew Kostern","Alliance ",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 36","Thu","09/01","03:18 PM",1,"5",27,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu",0,1,"2",27,"Luis Angel G Rosito","Alliance ",0,0
"Master 1","Male","BROWN","Rooster","FIGHT 35","Thu","09/01","03:07 PM",2,"4",28,"Dylan Taylor Nguyen","Six Blades Jiu-Jitsu",0,0,"6",28,"Jeison Camilo  Mora Pineda","CheckMat",0,1
"Master 1","Male","BROWN","Rooster","FIGHT 38","Thu","09/01","03:03 PM",2,"3",29,"Alejandro Colin","Alliance International ",1,0,"5",29,"Ronaldo Coelho Vello Neto","Art of Jiu Jitsu",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 4","Thu","09/01","10:02 AM",1,"7",30,"Eduardo Barboza da Silva","GF Team",0,1,"9",30,"Baltazar Ricardo Nunez","Cassio Werneck BJJ",1,0
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"2",31,"Washington Luis do M Lima","GF Team",0,1,"BYE",31,"BYE","BYE",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 8","Thu","09/01","10:28 AM",2,"1",32,"João Pedro Oliveira Rodrigues","Soul Fighters BJJ",0,0,"7",32,"Eduardo Barboza da Silva","GF Team",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 14","Thu","09/01","11:16 AM",1,"5",33,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1,"7",33,"Eduardo Barboza da Silva","GF Team",0,0
"Master 1","Male","BLACK","Rooster","FIGHT 3","Thu","09/01","10:08 AM",2,"8",34,"Bryan Joseph Ramirez","Kronos BJJ HQ",0,0,"2",34,"Washington Luis do M Lima","GF Team",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"1",35,"João Pedro Oliveira Rodrigues","Soul Fighters BJJ",0,1,"BYE",35,"BYE","BYE",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"8",36,"Bryan Joseph Ramirez","Kronos BJJ HQ",0,1,"BYE",36,"BYE","BYE",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 11","Thu","09/01","10:52 AM",2,"6",37,"Zachary Taylor Thompson","Ares BJJ",0,0,"7",37,"Eduardo Barboza da Silva","GF Team",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 9","Thu","09/01","10:43 AM",1,"5",38,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1,"2",38,"Washington Luis do M Lima","GF Team",0,0
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"4",39,"Mark A Millare","Hart Jiu-Jitsu",0,1,"BYE",39,"BYE","BYE",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"3",40,"Andres O Poveda","Nova União",0,1,"BYE",40,"BYE","BYE",0,1
"Master 1","Male","BLACK","Rooster","FIGHT 9","Thu","09/01","10:36 AM",1,"6",41,"Zachary Taylor Thompson","Ares BJJ",0,1,"4",41,"Mark A Millare","Hart Jiu-Jitsu",0,0
"Master 1","Male","BLACK","Rooster","FIGHT 4","Thu","09/01","10:16 AM",1,"5",42,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1,"3",42,"Andres O Poveda","Nova União",0,0
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"6",43,"Zachary Taylor Thompson","Ares BJJ",0,1,"BYE",43,"BYE","BYE",0,1
"Master 1","Male","BLACK","Rooster","BYE","BYE","BYE","BYE",1,"5",44,"Osamah Ali Ali Almarwai","Atos Jiu-Jitsu",0,1,"BYE",44,"BYE","BYE",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 28","Sat","09/03","01:06 PM",1,"1",45,"Ricardo A Calamari","Roberto Traven BJJ",0,1,"16",45,"Brian Daniel Baker","Phantom Brazilian Jiu-Jitsu",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 35","Sat","09/03","01:39 PM",1,"2",46,"Zulkainar Shaibek Uulu","CheckMat",0,1,"15",46,"Christopher Lazar Ciric","Gracie Barra",1,0
"Master 1","Male","BLUE","Light Feather","FIGHT 38","Sat","09/03","02:12 PM",2,"8",47,"Jacob William Beggs","Renato Tavares Association",0,0,"1",47,"Ricardo A Calamari","Roberto Traven BJJ",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 50","Sat","09/03","03:45 PM",2,"2",48,"Zulkainar Shaibek Uulu","CheckMat",0,0,"3",48,"Johnnie Hai Nguyen","CheckMat",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 42","Sat","09/03","02:46 PM",2,"11",49,"Joshua Michael Davenport","Mike Moses' Competition Team",0,0,"2",49,"Zulkainar Shaibek Uulu","CheckMat",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 29","Sat","09/03","01:13 PM",1,"8",50,"Jacob William Beggs","Renato Tavares Association",0,1,"12",50,"Jesse James Robin","Gracie Barra",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 34","Sat","09/03","01:54 PM",2,"7",51,"Unai Garmendia Maeztu","Six Blades Jiu-Jitsu",0,0,"11",51,"Joshua Michael Davenport","Mike Moses' Competition Team",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 45","Sat","09/03","03:09 PM",1,"3",52,"Johnnie Hai Nguyen","CheckMat",0,1,"1",52,"Ricardo A Calamari","Roberto Traven BJJ",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 47","Sat","09/03","03:33 PM",2,"9",53,"Douglas Richard Cass","Jiu-Jitsu For Life Team",0,0,"2",53,"Zulkainar Shaibek Uulu","CheckMat",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 31","Sat","09/03","01:34 PM",1,"3",54,"Johnnie Hai Nguyen","CheckMat",0,1,"14",54,"Christopher Lim Chung","Cascao Jiu-Jitsu",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 37","Sat","09/03","02:07 PM",1,"4",55,"James Alexander Cusick","Cascao Jiu-Jitsu",0,1,"13",55,"Emanuele Agosta","Brasa CTA",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 40","Sat","09/03","02:26 PM",2,"10",56,"Luis Yordan Puente","Carlson Gracie Team",0,0,"3",56,"Johnnie Hai Nguyen","CheckMat",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 44","Sat","09/03","02:59 PM",1,"9",57,"Douglas Richard Cass","Jiu-Jitsu For Life Team",0,1,"4",57,"James Alexander Cusick","Cascao Jiu-Jitsu",0,0
"Master 1","Male","BLUE","Light Feather","FIGHT 32","Sat","09/03","01:41 PM",2,"6",58,"Viet Quoc Tran","One Jiu-Jitsu USA",0,0,"10",58,"Luis Yordan Puente","Carlson Gracie Team",0,1
"Master 1","Male","BLUE","Light Feather","FIGHT 36","Sat","09/03","02:01 PM",2,"5",59,"Shawn Michael Galligan","RMNU Team",0,0,"9",59,"Douglas Richard Cass","Jiu-Jitsu For Life Team",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 12","Fri","09/02","10:53 AM",2,"8",60,"Tommy Lee Santos Zarate","Autore",1,0,"28",60,"Andres Felipe Garcia","Iturralde Arte Suave",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 14","Fri","09/02","11:12 AM",1,"6",61,"Kenneth Todd Clatterbuck","Ares BJJ",0,1,"26",61,"Dryson Bento","Brasa CTA",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 13","Fri","09/02","11:05 AM",2,"12",62,"Thomas Choe","Aspire To Inspire",0,0,"28",62,"Andres Felipe Garcia","Iturralde Arte Suave",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 26","Fri","09/02","12:24 PM",2,"6",63,"Kenneth Todd Clatterbuck","Ares BJJ",0,0,"1",63,"Eneko Aburruza","Studio NW2 - BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 18","Fri","09/02","11:32 AM",2,"18",64,"MichaelAngelo Ablola Remorca","Rilion Gracie",0,0,"6",64,"Kenneth Todd Clatterbuck","Ares BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 9","Fri","09/02","10:42 AM",1,"12",65,"Thomas Choe","Aspire To Inspire",0,1,"20",65,"Justin Scott Spencer","Team Penn Gladiator Jiu-Jitsu Family",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 17","Fri","09/02","11:25 AM",2,"10",66,"Marc Alexandre Poitevien","Logic",1,0,"18",66,"MichaelAngelo Ablola Remorca","Rilion Gracie",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 19","Fri","09/02","11:37 AM",1,"1",67,"Eneko Aburruza","Studio NW2 - BJJ",0,1,"28",67,"Andres Felipe Garcia","Iturralde Arte Suave",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 24","Fri","09/02","12:09 PM",2,"22",68,"Jorge F Chavez Polack","Alliance ",0,0,"6",68,"Kenneth Todd Clatterbuck","Ares BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 10","Fri","09/02","10:50 AM",1,"16",69,"Richard Bernabel","BARBOSA JIU-JITSU USA",0,1,"24",69,"Jeffrey M Paquette","Troop BJJ",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 16","Fri","09/02","11:23 AM",2,"14",70,"Victor Heng Thai","Aegis Jiu-Jitsu",0,0,"22",70,"Jorge F Chavez Polack","Alliance ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 15","Fri","09/02","11:16 AM",1,"1",71,"Eneko Aburruza","Studio NW2 - BJJ",0,1,"16",71,"Richard Bernabel","BARBOSA JIU-JITSU USA",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 20","Fri","09/02","11:44 AM",2,"4",72,"Charles Ford Grover lll","Luiz Palhares Jiu-Jitsu",0,0,"22",72,"Jorge F Chavez Polack","Alliance ",0,1
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"1",73,"Eneko Aburruza","Studio NW2 - BJJ",0,1,"BYE",73,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"4",74,"Charles Ford Grover lll","Luiz Palhares Jiu-Jitsu",0,1,"BYE",74,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 10","Fri","09/02","10:23 AM",2,"7",75,"Adrian Edward Lopez","Kiko France BJJ",0,0,"27",75,"Bryan Keith Williamson II","CheckMat",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 12","Fri","09/02","10:39 AM",1,"5",76,"Amon Jarret Dessources","Atliens Odyssey",0,1,"25",76,"Fabiano Carvalho Lopes","Gracie Barra",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 16","Fri","09/02","11:20 AM",2,"19",77,"Marvin Orlando Amaya Menendez","R1NG BJJ",0,0,"27",77,"Bryan Keith Williamson II","CheckMat",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 26","Fri","09/02","12:15 PM",1,"5",78,"Amon Jarret Dessources","Atliens Odyssey",0,1,"27",78,"Bryan Keith Williamson II","CheckMat",0,0
"Master 1","Male","PURPLE","Light Feather","FIGHT 17","Fri","09/02","11:26 AM",2,"17",79,"Nathaniel Marvin Bickley Caron","Brasa CTA",0,0,"5",79,"Amon Jarret Dessources","Atliens Odyssey",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 18","Fri","09/02","11:18 AM",2,"11",80,"Karl Daupan","Princeton Brazilian Jiu-Jitsu",1,0,"19",80,"Marvin Orlando Amaya Menendez","R1NG BJJ",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 14","Fri","09/02","10:59 AM",2,"9",81,"Tomas Ignacio Sanchez","Cohab Chile",0,0,"17",81,"Nathaniel Marvin Bickley Caron","Brasa CTA",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 23","Fri","09/02","11:53 AM",2,"23",82,"Jesse Michael Diana","Luiz Palhares Jiu-Jitsu",0,0,"27",82,"Bryan Keith Williamson II","CheckMat",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 24","Fri","09/02","11:57 AM",2,"3",83,"Alexander Panyasiri","Impact Jiu Jitsu",0,0,"5",83,"Amon Jarret Dessources","Atliens Odyssey",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 19","Fri","09/02","11:29 AM",2,"15",84,"Tolonbai Kamalov ","Atos Jiu-Jitsu",1,0,"23",84,"Jesse Michael Diana","Luiz Palhares Jiu-Jitsu",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 15","Fri","09/02","11:06 AM",2,"13",85,"Walid El Khoumssi","Renato Tavares Association",0,0,"21",85,"Jufer G Librando","Art of Jiu Jitsu",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 20","Fri","09/02","11:31 AM",2,"2",86,"Branden Kyle Whittington","Ares BJJ",0,0,"23",86,"Jesse Michael Diana","Luiz Palhares Jiu-Jitsu",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 21","Fri","09/02","11:35 AM",1,"3",87,"Alexander Panyasiri","Impact Jiu Jitsu",0,1,"21",87,"Jufer G Librando","Art of Jiu Jitsu",0,0
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"2",88,"Branden Kyle Whittington","Ares BJJ",0,1,"BYE",88,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Light Feather","BYE","BYE","BYE","BYE",1,"3",89,"Alexander Panyasiri","Impact Jiu Jitsu",0,1,"BYE",89,"BYE","BYE",0,1
"Master 1","Male","PURPLE","Light Feather","FIGHT 28","Fri","09/02","12:41 PM",1,"5",90,"Amon Jarret Dessources","Atliens Odyssey",0,1,"1",90,"Eneko Aburruza","Studio NW2 - BJJ",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 17","Thu","09/01","11:56 AM",1,"15",91,"Tony Quang Anh Nguyen","Cicero Costha Internacional",0,1,"24",91,"Bryan Andrew Vaca","Squad BJJ",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 22","Thu","09/01","12:42 PM",1,"14",92,"Travis Hayward Anderson","Hurricane Jiu-Jitsu",0,1,"22",92,"Carlos Alejandro Aguilar","Lansang Brazilian Jiu-Jitsu",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 25","Thu","09/01","12:48 PM",1,"1",93,"Phillip Heng Thai","Fifty/50 Jiu-Jitsu",0,1,"15",93,"Tony Quang Anh Nguyen","Cicero Costha Internacional",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 34","Thu","09/01","02:12 PM",2,"4",94,"Maui H T Lacaze","Mako Team Paris",0,0,"12",94,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 28","Thu","09/01","01:14 PM",1,"4",95,"Maui H T Lacaze","Mako Team Paris",0,1,"14",95,"Travis Hayward Anderson","Hurricane Jiu-Jitsu",0,0
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"1",96,"Phillip Heng Thai","Fifty/50 Jiu-Jitsu",0,1,"BYE",96,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"4",97,"Maui H T Lacaze","Mako Team Paris",0,1,"BYE",97,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 30","Thu","09/01","01:26 PM",1,"12",98,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA",0,1,"1",98,"Phillip Heng Thai","Fifty/50 Jiu-Jitsu",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 31","Thu","09/01","01:33 PM",2,"10",99,"Fabio Andrés Arboleda Larrartw","Dojo Leo Iturralde",0,0,"4",99,"Maui H T Lacaze","Mako Team Paris",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 23","Thu","09/01","12:35 PM",1,"12",100,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA",0,1,"20",100,"Dustin Dean Irlandez","Cascao Jiu-Jitsu",1,0
"Master 1","Male","BROWN","Light Feather","FIGHT 24","Thu","09/01","12:44 PM",1,"10",101,"Fabio Andrés Arboleda Larrartw","Dojo Leo Iturralde",0,1,"18",101,"Jeremy John Cox","Diego Herzog BJJ",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 29","Thu","09/01","01:22 PM",2,"8",102,"Justin Penaflor","TAC Team BJJ",1,0,"12",102,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 27","Thu","09/01","01:11 PM",2,"5",103,"Lucas Pinto de Souza","Art of Jiu Jitsu",0,0,"10",103,"Fabio Andrés Arboleda Larrartw","Dojo Leo Iturralde",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"8",104,"Justin Penaflor","TAC Team BJJ",0,1,"BYE",104,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"5",105,"Lucas Pinto de Souza","Art of Jiu Jitsu",0,1,"BYE",105,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 20","Thu","09/01","12:26 PM",1,"16",106,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,1,"23",106,"Brysson Duk Hoon Morita","Mano Jiu-Jitsu",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 25","Thu","09/01","01:09 PM",2,"13",107,"Joseph Gomez","One Jiu-Jitsu USA",0,0,"21",107,"Claudio Javier Candia Vicencio","CheckMat",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 26","Thu","09/01","01:13 PM",2,"2",108,"Brian Paul Vierra","American Jiu-Jitsu Syndicate",0,0,"16",108,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 42","Thu","09/01","03:28 PM",2,"21",109,"Claudio Javier Candia Vicencio","CheckMat",0,0,"16",109,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 28","Thu","09/01","01:30 PM",2,"3",110,"Ricardo Benjamin Sulzbach","Art of Jiu Jitsu",0,0,"21",110,"Claudio Javier Candia Vicencio","CheckMat",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"2",111,"Brian Paul Vierra","American Jiu-Jitsu Syndicate",0,1,"BYE",111,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"3",112,"Ricardo Benjamin Sulzbach","Art of Jiu Jitsu",0,1,"BYE",112,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 30","Thu","09/01","01:53 PM",2,"7",113,"Misha Kanai","Massbjj Arlington",0,0,"16",113,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 38","Thu","09/01","02:58 PM",2,"6",114,"Luis Alberto Gomez","Carlson Gracie Team",0,0,"21",114,"Claudio Javier Candia Vicencio","CheckMat",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 23","Thu","09/01","12:46 PM",2,"11",115,"Tyler B Weaver","Cicero Costha Internacional",0,0,"19",115,"Farley Thomas III","Sim Go Academy",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 31","Thu","09/01","01:57 PM",1,"9",116,"Franco Marcelo Villegas Toledo","GF Team",0,1,"17",116,"Michael Dave Torres","Jiu Jitsu Family Traning Center",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 27","Thu","09/01","01:20 PM",1,"7",117,"Misha Kanai","Massbjj Arlington",0,1,"19",117,"Farley Thomas III","Sim Go Academy",0,0
"Master 1","Male","BROWN","Light Feather","FIGHT 34","Thu","09/01","02:18 PM",1,"6",118,"Luis Alberto Gomez","Carlson Gracie Team",0,1,"9",118,"Franco Marcelo Villegas Toledo","GF Team",0,0
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"7",119,"Misha Kanai","Massbjj Arlington",0,1,"BYE",119,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","BYE","BYE","BYE","BYE",1,"6",120,"Luis Alberto Gomez","Carlson Gracie Team",0,1,"BYE",120,"BYE","BYE",0,1
"Master 1","Male","BROWN","Light Feather","FIGHT 46","Thu","09/01","03:55 PM",1,"16",121,"Samuel Alejandr Franchi","Atos Jiu-Jitsu",0,1,"12",121,"Aristides AraujoRodriguez","BARBOSA JIU-JITSU USA",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 5","Thu","09/01","10:19 AM",2,"2",122,"Cesar Rodriguez Jr","RMNU Team",1,0,"15",122,"Edmund Li","Nova União",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 3","Thu","09/01","09:52 AM",2,"4",123,"Francielio Fernandes da Costa","Alliance ",0,0,"14",123,"Guilherme Angelus M de Carvalho","Elvys / Osvaldo Alves - AM",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 6","Thu","09/01","10:27 AM",1,"7",124,"Santiago Pereyra Furlong","Lotus Club USA",0,1,"15",124,"Edmund Li","Nova União",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 13","Thu","09/01","11:30 AM",1,"1",125,"João Ricardo Bordignon Miyao","Cicero Costha Internacional",0,1,"13",125,"Jeanmarc De Groot","Bibiano Fernandes BJJ",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 6","Thu","09/01","10:16 AM",2,"6",126,"Justin Ross M Reyes","TAC Team BJJ",0,0,"14",126,"Guilherme Angelus M de Carvalho","Elvys / Osvaldo Alves - AM",0,1
"Master 1","Male","BLACK","Light Feather","FIGHT 1","Thu","09/01","09:40 AM",1,"7",127,"Santiago Pereyra Furlong","Lotus Club USA",0,1,"11",127,"Arnold Gladimir Monterroso","CheckMat",0,0
"Master 1","Male","BLACK","Light Feather","FIGHT 1","Thu","09/01","09:36 AM",1,"6",128,"Justin Ross M Reyes","TAC Team BJJ",0,1,"10",128,"Chad Daniel Lundy","Cleber Jiu Jitsu",0,0
